sample	strainID	genus	species	count
04CNC	HAMBI-2160	Bordetella	avium	917
04CNC	HAMBI-2164	Cupriavidus	necator	358
04CNC	HAMBI-2443	Paracoccus	denitrificans	1
04CNC	HAMBI-2467	Thermomonas	haemolytica	0
04CNC	HAMBI-2494	Paraburkholderia	kururiensis	367
04CNC	HAMBI-2659	Stenotrophomonas	maltophilia	3512
04CNC	HAMBI-2792	Moraxella	canis	27
04CNC	HAMBI-3031	Niabella	yanshanensis	3
04CNC	HAMBI-3172	Azospirillum	brasilense	105
04CNC	HAMBI-3237	Microvirga	lotononidis	6
04CNC	JE2571RP4	Escherichia	coli	46
04CNC	PsFluSBW25	Pseudomonas	fluorescens	1704
04CYA	HAMBI-0097	Acinetobacter	lwoffii	2
04CYA	HAMBI-0105	Agrobacterium	tumefaciens	1286
04CYA	HAMBI-0216	Azorhizobium	caulinodans	17
04CYA	HAMBI-0262	Brevundimonas	bullata	6
04CYA	HAMBI-0403	Comamonas	testosteroni	266
04CYA	HAMBI-1279	Hafnia	alvei	226
04CYA	HAMBI-1287	Citrobacter	koseri	33232
04CYA	HAMBI-1292	Morganella	morganii	2199
04CYA	HAMBI-1299	Kluyvera	intermedia	3403
04CYA	HAMBI-1842	Sphingobium	yanoikuyae	0
04CYA	HAMBI-1874	Sphingobacterium	multivorum	0
04CYA	HAMBI-1896	Sphingobacterium	spiritivorum	931
04CYA	HAMBI-1923	Myroides	odoratus	1430
04CYA	HAMBI-1966	Chitinophaga	filiformis	0
04CYA	HAMBI-1972	Aeromonas	caviae	276
04CYA	HAMBI-1988	Chitinophaga	sancti	0
04CYA	HAMBI-1992	Phyllobacterium	myrsinacearum	221
04CYA	HAMBI-2159	Paraburkholderia	caryophylli	1
04CYA	HAMBI-2160	Bordetella	avium	340
04CYA	HAMBI-2164	Cupriavidus	necator	468
04CYA	HAMBI-2443	Paracoccus	denitrificans	0
04CYA	HAMBI-2467	Thermomonas	haemolytica	0
04CYA	HAMBI-2494	Paraburkholderia	kururiensis	121
04CYA	HAMBI-2659	Stenotrophomonas	maltophilia	5752
04CYA	HAMBI-2792	Moraxella	canis	0
04CYA	HAMBI-3031	Niabella	yanshanensis	0
04CYA	HAMBI-3172	Azospirillum	brasilense	0
04CYA	HAMBI-3237	Microvirga	lotononidis	2
04CYA	JE2571RP4	Escherichia	coli	1
04CYA	PsFluSBW25	Pseudomonas	fluorescens	1539
04CYB	HAMBI-0097	Acinetobacter	lwoffii	205
04CYB	HAMBI-0105	Agrobacterium	tumefaciens	1041
04CYB	HAMBI-0216	Azorhizobium	caulinodans	2
04CYB	HAMBI-0262	Brevundimonas	bullata	24
04CYB	HAMBI-0403	Comamonas	testosteroni	4098
04CYB	HAMBI-1279	Hafnia	alvei	1600
04CYB	HAMBI-1287	Citrobacter	koseri	135664
04CYB	HAMBI-1292	Morganella	morganii	16065
04CYB	HAMBI-1299	Kluyvera	intermedia	30868
